Rank,Country or Territory,Combatant Command,Overall Score Normed,ISO3
138,"Saint Kitts
and Nevis",SOUTHCOM,0.691572,KNA
78,Saint Lucia,SOUTHCOM,0.516511,LCA
88,"Saint Vincent
and the
Grenadines",SOUTHCOM,0.549145,VCT
102,Samoa,PACOM,0.580679,WSM
137,San Marino,EUCOM,0.687314,SMR
153,Saudi Arabia,CENTCOM,0.736844,SAU
34,Senegal,AFRICOM,0.329156,SEN
97,Serbia,EUCOM,0.568934,SRB
119,Seychelles,AFRICOM,0.628108,SYC
18,Sao Tome and Principe,AFRICOM,0.223256,STP
19,Sierra Leone,AFRICOM,0.223397,SLE
178,Singapore,PACOM,0.878289,SGP
170,Slovakia,EUCOM,0.808457,SVK
169,Slovenia,EUCOM,0.80579,SVN
45,"Solomon
Islands",PACOM,0.370311,SLB
1,Somalia,AFRICOM,0,SOM
141,South Africa,AFRICOM,0.697292,ZAF
4,South Sudan,AFRICOM,0.100836,SSDN
176,Spain,EUCOM,0.875475,ESP
99,Sri Lanka,PACOM,0.571001,LKA
30,Sudan,AFRICOM,0.29158,SDN
92,Suriname,SOUTHCOM,0.55532,SUR
43,Swaziland,AFRICOM,0.35847,SWZ
191,Sweden,EUCOM,0.955625,SWE
185,Switzerland,EUCOM,0.915839,CHE
51,Syria,CENTCOM,0.391337,SYR
146,Taiwan,PACOM,0.709691,TWN
76,Tajikistan,CENTCOM,0.507026,TJK
37,Tanzania,AFRICOM,0.340445,TZA
147,Thailand,PACOM,0.711334,THA
15,The Gambia,AFRICOM,0.207809,GMB
33,Timor-Leste,PACOM,0.310208,TLS
24,Togo,AFRICOM,0.259396,TGO
120,Tonga,PACOM,0.630046,TON
104,Trinidad andTobago,SOUTHCOM,0.594998,TTO
82,Tunisia,AFRICOM,0.535451,TUN
134,Turkey,EUCOM,0.677438,TUR
66,Turkmenistan,CENTCOM,0.486696,TKM
111,Tuvalu,PACOM,0.608741,TUV
44,Uganda,AFRICOM,0.36585,UGA
114,Ukraine,EUCOM,0.617343,UKR
161,United Arab Emirates,CENTCOM,0.7652,ARE
188,United States,NORTHCOM,0.924939,USA
181,United Kingdom,EUCOM,0.897495,GBR
156,Uruguay,SOUTHCOM,0.745957,URY
77,Uzbekistan,CENTCOM,0.515492,UZB
68,Vanuatu,PACOM,0.490878,VUT
81,Venezuela,SOUTHCOM,0.530692,VEN
116,Vietnam,PACOM,0.626124,VNM
22,Yemen,CENTCOM,0.250277,YEM
55,Zambia,AFRICOM,0.420459,ZMB
35,Zimbabwe,AFRICOM,0.337478,ZWE
